"Genome_copies_mean","OPG","dpi","weightloss","EH_ID"
344649.452238625,214887.640449438,7,-2.3084479371,"LM0218"
217487.440367727,0,4,-1.1787819253,"LM0218"
161.308372999822,NA,2,-1.9155206287,"LM0218"
1000.99110451466,0,3,0.7858546169,"LM0218"
119407.903613579,197916.666666667,5,2.2593320236,"LM0218"
54.3965033788501,5859.375,10,-2.7504911591,"LM0218"
2004.48105621042,0,3,-0.2631578947,"LM0219"
474717.034249322,0,4,-2.5789473684,"LM0219"
1558.21541468119,0,10,-2.1052631579,"LM0219"
206516.983925149,318597.56097561,7,-7.6315789474,"LM0219"
0,NA,2,-7.3157894737,"LM0219"
0,NA,1,-5.8421052632,"LM0219"
2206.25973759612,0,9,-8.7368421053,"LM0219"
0,0,0,0,"LM0219"
211378.840370085,14285.7142857143,5,-0.1578947368,"LM0219"
5806.80064298386,14814.8148148148,8,-9,"LM0219"
3559731.73765085,1675675.67567568,6,-5.8421052632,"LM0219"
0,NA,2,-2.9918864097,"LM0220"
1917.99055879814,6465.51724137931,9,0.3042596349,"LM0220"
283932.472412155,343137.254901961,7,3.1440162272,"LM0220"
40456.7046329574,6097.56097560976,4,1.724137931,"LM0220"
4991671.2569573,297297.297297297,5,7.7586206897,"LM0220"
2179499.90496836,2380165.2892562,6,2.6369168357,"LM0220"
49.2677240202325,13888.8888888889,10,0,"LM0220"
11991.5992163116,39062.5,8,0.1521298174,"LM0220"
0,0,0,0,"LM0220"
0,NA,1,-1.369168357,"LM0220"
825.457881730032,0,3,3.6511156187,"LM0220"
315868.416465481,22413.7931034483,8,5.5752660922,"LM0221"
1473.97383921063,0,10,5.1191079574,"LM0221"
1073935.71414048,230555.555555556,6,6.4875823619,"LM0221"
388964.30912399,553846.153846154,7,4.1561074506,"LM0221"
947046.142850436,98958.3333333333,5,4.4602128738,"LM0221"
0,NA,1,0.760263558,"LM0221"
0,0,0,0,"LM0221"
7455.39656518237,0,3,2.8890015205,"LM0221"
281657.466084756,0,4,-0.8616320324,"LM0221"
2209.5771660975,16826.9230769231,9,6.7410035479,"LM0221"
266.203868671177,NA,2,-1.4698428789,"LM0221"
198554.110223868,1238188.97637795,7,8.670279283,"LM0222"
0,0,0,0,"LM0222"
996876.965758558,264367.816091954,6,10.8795331388,"LM0222"
22321.6011511039,110000,8,2.5427261359,"LM0222"
