"dpi","term","estimate","std.error","statistic","p.value","p.value.adj","p.value.adj.signif"
"4","log10(OPG)",0.195866868650042,3.41139237841993,0.0574155203866528,0.955818770791676,1,"ns"
"5","log10(OPG)",0.476416461263313,0.325594275974688,1.46322124317797,0.160650531382073,1,"ns"
"6","log10(OPG)",0.0257705236033049,0.143292787942731,0.179845224405882,0.859083751543793,1,"ns"
"7","log10(OPG)",0.32923097812058,0.270868911637274,1.21546240257154,0.238343385502789,1,"ns"
"8","log10(OPG)",0.820094164527365,0.303804711292303,2.69941226730457,0.0142072835263564,0.19890196936899,"ns"
"9","log10(OPG)",0.761522226730442,0.418345398056916,1.82031935875828,0.111516353322673,1,"ns"
"10","log10(OPG)",1.38787769261005,2.14223955192314,0.647862976558399,0.552382971032679,1,"ns"
