"","EH_ID","Weight_at_DPI_0","Age_at_DPI_0","Sex","Locality","Genome","Strain"
"1","LM0204",19.26,15.4285714286,"M","PWD x BUSNA","mus x mus","PWD_BUSNA"
"2","LM0206",16.97,11.4285714286,"F","Buskovice","mus","BUSNA_BUSNA"
"3","LM0207",17.27,17.7142857143,"M","Prague","mus","PWD_PWD"
"4","LM0208",22.82,15.7142857143,"M","STRA x SCHUNT","dom","STRA_SCHUNT"
"5","LM0209",22.09,13.8571428571,"F","Straas2","dom","STRA_STRA"
"6","LM0210",15.65,9,"M","PWD x SCHUNT","mus x dom","PWD_SCHUNT"
"7","LM0211",17.42,14.1428571429,"M","Prague","mus","PWD_PWD"
"8","LM0212",21.58,12.8571428571,"M","SCHUNT x STRA","dom","SCHUNT_STRA"
"9","LM0213",15.39,17.7142857143,"F","Prague","mus","PWD_PWD"
"10","LM0214",27.43,13.8571428571,"M","Straas2","dom","STRA_STRA"
"11","LM0215",23.9,19.4285714286,"F","BUSNA x STRA","mus x dom","BUSNA_STRA"
"12","LM0216",18.37,10.5714285714,"F","Buskovice","mus","BUSNA_BUSNA"
"13","LM0217",17.74,10.5714285714,"M","Buskovice","mus","BUSNA_BUSNA"
"14","LM0218",20.36,9,"M","PWD x SCHUNT","mus x dom","PWD_SCHUNT"
"15","LM0219",19,15.4285714286,"M","SCHUNT x PWD","dom x mus","SCHUNT_PWD"
"16","LM0220",19.72,14.1428571429,"F","BUSNA x PWD","mus x mus","BUSNA_PWD"
"17","LM0221",19.73,9.8571428571,"M","Schweben 2","dom","SCHUNT_SCHUNT"
"18","LM0222",23.99,17.7142857143,"M","STRA x BUSNA","dom x mus","STRA_BUSNA"
"19","LM0223",20.73,12.4285714286,"M","Schweben 2","dom","SCHUNT_SCHUNT"
"20","LM0224",19.21,14.1428571429,"M","BUSNA x PWD","mus x mus","BUSNA_PWD"
"21","LM0225",28.05,13.8571428571,"M","Straas2","dom","STRA_STRA"
"22","LM0226",15.16,12.4285714286,"F","Schweben 2","dom","SCHUNT_SCHUNT"
